onset_latency,rise_time,peak_amplitude,recovery_time,dwell_time,switching_rate,mean_synchrony,synchrony_entropy,onset_defined,rise_defined,recovery_defined,_notes,_params,first_peak_time,baseline_fraction,inter_peak_cv,morphology_label,ground_truth_morphology,replication
,2.0,0.5757224731012582,2.0,1.9620253164556962,31.2,0.4999122457908758,1.2561728770192822,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",25.0,0.4,0.659909789089922,oscillatory,sustained,13
,1.0,0.574485598831595,2.0,1.8888888888888888,32.2,0.49764832161594846,1.3271379395990743,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",1.0,1.0,0.7786264387390281,oscillatory,sustained,14
,2.0,0.5826856326689476,2.0,2.0128205128205128,31.2,0.5013704679369488,1.2692220363482942,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.4,0.7390520700120865,oscillatory,sustained,15
,8.0,0.5915160845884528,0.0,2.3714285714285714,27.8,0.5029458125147344,1.3567409350665496,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.4444444444444444,0.7656696415556776,oscillatory,sustained,16
,1.0,0.6047012554039122,2.0,2.112676056338028,28.2,0.504160903747607,1.257178487743438,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",23.0,0.5217391304347826,0.8317283458295365,oscillatory,sustained,17
,1.0,0.5766312561380728,2.0,2.1714285714285713,28.0,0.4984189833177294,1.3216898337641827,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",14.0,0.5,0.632232404999934,oscillatory,sustained,18
,4.0,0.5944183299992445,1.0,2.0833333333333335,28.8,0.5014092197934625,1.3268753761931016,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",13.0,0.46153846153846156,0.8211505548996745,oscillatory,sustained,19
,1.0,0.5738567102248651,2.0,1.8857142857142857,27.8,0.4916460474433814,1.179362298747362,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",22.0,0.36363636363636365,0.8976852569701428,oscillatory,sustained,20
,3.0,0.5765304083231921,2.0,2.2467532467532467,30.6,0.5038022095792023,1.1757912891998872,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",7.0,0.2857142857142857,0.9653706520646712,oscillatory,sustained,21
,1.0,0.6017071332380903,2.0,2.023529411764706,33.8,0.5052358084141478,1.2363090088255235,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",61.0,0.5081967213114754,1.0487318111981827,oscillatory,sustained,22
,26.0,0.6090623389950907,2.0,1.875,28.8,0.49463588115110857,1.27878481679782,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",12.0,0.9166666666666666,0.843028043598572,oscillatory,sustained,23
,2.0,0.5742506685024882,1.0,1.7647058823529411,33.6,0.4985998018559608,1.2862281018846218,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",8.0,0.375,0.702683261492382,oscillatory,sustained,24
,5.0,0.5756863763120306,0.0,1.8051948051948052,30.6,0.49582782490050703,1.2825125300235651,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",64.0,0.59375,0.6888789109705648,oscillatory,sustained,25
,4.0,0.5795566496221539,2.0,2.095890410958904,28.8,0.5027557421023554,1.2413533521792561,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",8.0,0.25,0.8118321718667618,oscillatory,sustained,26
,7.0,0.5905128035358311,1.0,2.16,29.8,0.5021430537236077,1.2787848167978197,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.5,0.7956263978637507,oscillatory,sustained,27
,4.0,0.5968098372797994,1.0,1.9878048780487805,32.4,0.5031238799999633,1.3211585905074223,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.2,0.6521565569251638,oscillatory,sustained,28
,8.0,0.5753913956668573,2.0,1.8333333333333333,31.0,0.49812001694503494,1.2843373783937226,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.4,0.7928194212157126,oscillatory,sustained,29
,5.0,0.571783605167078,2.0,2.2972972972972974,29.2,0.5089653742930385,1.2197261033930422,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",21.0,0.42857142857142855,0.8175396466083338,oscillatory,sustained,30
,3.0,0.6108639825954775,3.0,2.1232876712328768,28.8,0.5017225106615335,1.4005230634830366,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",18.0,0.5,0.6120610162086352,oscillatory,sustained,31
,1.0,0.5919456848346347,2.0,1.9024390243902438,32.8,0.49751278961135503,1.376107889464795,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",1.0,1.0,0.7823109146976811,oscillatory,sustained,32
,7.0,0.5752737081894577,2.0,2.1780821917808217,29.0,0.5015442965366635,1.2519942516188483,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.6,0.8192571893884636,oscillatory,sustained,33
,2.0,0.5659634116032459,2.0,1.9736842105263157,30.0,0.497959511314457,1.2265672447004734,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",19.0,0.42105263157894735,0.9450446156355572,oscillatory,sustained,34
140.0,1.0,0.5811846833158189,2.0,2.135135135135135,29.4,0.5038010799603965,1.2843373783937226,1,1,1,,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",29.0,0.3448275862068966,1.1830182542113548,oscillatory,sustained,35
,4.0,0.5914708489389148,1.0,1.92,29.6,0.49686942827393116,1.1930094876184274,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.8,0.7285722160832396,oscillatory,sustained,36
,1.0,0.5916393234645007,2.0,1.9078947368421053,30.0,0.4955363930914197,1.3263637092737766,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",42.0,0.42857142857142855,0.8202251220125102,oscillatory,sustained,37
,4.0,0.567965649098397,1.0,1.8933333333333333,29.8,0.49676886035619605,1.2835181705751608,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",2.0,0.5,0.9628825770273638,oscillatory,sustained,38
,3.0,0.5788605962388403,2.0,1.8375,31.8,0.49977722101254435,1.3776654671247157,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",11.0,0.6363636363636364,0.6582171454900707,oscillatory,sustained,39
,1.0,0.5875846282155462,3.0,1.8356164383561644,29.0,0.49509024465665885,1.1849801208629664,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.2,1.1669503945905602,oscillatory,sustained,40
,4.0,0.5892610890845965,0.0,1.8452380952380953,33.4,0.5020847920804169,1.3647660294045778,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",11.0,0.45454545454545453,0.845093518143265,oscillatory,sustained,41
,6.0,0.5928038710239482,0.0,1.735632183908046,34.4,0.5011107870450356,1.313918168259629,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.7777777777777778,0.7651896856259472,oscillatory,sustained,42
,3.0,0.5772537179883005,5.0,2.0833333333333335,28.6,0.49978412137838973,1.210842300318532,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.8,0.8033195873352234,oscillatory,sustained,43
,1.0,0.5722694556102265,2.0,1.8227848101265822,31.4,0.49709791383072266,1.2780180630643105,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",22.0,0.5909090909090909,0.5631596224256303,oscillatory,sustained,44
,1.0,0.5780152416242632,2.0,2.1846153846153844,25.6,0.4982169082609261,1.1917348134724015,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",13.0,0.46153846153846156,0.8919835711657238,oscillatory,sustained,45
,1.0,0.5719632110142213,2.0,2.0,30.0,0.4981222532781326,1.2422921890824146,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",1.0,1.0,0.6544559823032294,oscillatory,sustained,46
,1.0,0.5838527592645308,2.0,2.2,30.0,0.5034311866168427,1.2931401717962316,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",3.0,0.6666666666666666,0.7089955881663828,oscillatory,sustained,47
,5.0,0.5848561572340418,2.0,2.026315789473684,30.0,0.4996353110644165,1.2567763020893108,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.4,0.787124137102398,oscillatory,sustained,48
,3.0,0.5677400151000244,0.0,2.1184210526315788,30.4,0.5043232949591165,1.1994495728373213,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.4,0.8337630904086669,oscillatory,sustained,49
,1.0,0.5637960940144426,2.0,1.87012987012987,30.8,0.4993601107636874,1.1580358578077659,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.4,1.095098766352233,oscillatory,sustained,50
,11.0,0.572447581916963,3.0,1.7073170731707317,32.8,0.4954587477834703,1.2891067087232655,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",20.0,0.6,0.6833959525067975,oscillatory,sustained,51
,28.0,0.5872536603753074,2.0,2.236111111111111,28.8,0.5021357526749932,1.205092702155979,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.4,0.691794554101177,oscillatory,sustained,52
,9.0,0.5738543257771075,2.0,1.8987341772151898,31.2,0.49909807607928286,1.313918168259629,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.6666666666666666,0.7592646642541819,oscillatory,sustained,53
,1.0,0.5819494032981386,2.0,1.9324324324324325,29.4,0.49880582579525423,1.2651389413345917,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",11.0,0.6363636363636364,0.7924699477180941,oscillatory,sustained,54
,1.0,0.5648692147097099,2.0,2.1315789473684212,30.4,0.5031168296285848,1.251994251618848,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.4,0.8302731798201841,oscillatory,sustained,55
,4.0,0.5841799339285811,2.0,2.101449275362319,27.6,0.5021215169751825,1.2561728770192824,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",12.0,0.5,0.8485934263969406,oscillatory,sustained,56
,3.0,0.5799501539560914,1.0,1.858974358974359,30.8,0.5000802131036817,1.2701644240999437,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",6.0,0.6666666666666666,0.799255852249686,oscillatory,sustained,57
,1.0,0.5716432532158072,2.0,2.1527777777777777,28.4,0.5015688849412984,1.2701644240999435,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",34.0,0.5294117647058824,0.7522751948256702,oscillatory,sustained,58
,1.0,0.5609710986848772,1.0,1.736842105263158,30.4,0.4936715027342023,1.28927307540864,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",17.0,0.47058823529411764,0.7779289326560704,oscillatory,sustained,59
,2.0,0.5710103750970099,2.0,2.0,30.0,0.49955571948007926,1.159414997863909,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",6.0,0.6666666666666666,0.6853444168423419,oscillatory,sustained,60
,4.0,0.5811972118107205,2.0,2.1194029850746268,26.8,0.49694651831904274,1.3252609455076079,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",18.0,0.5,0.7982406959162005,oscillatory,sustained,61
,1.0,0.5972238190216197,0.0,1.7974683544303798,31.6,0.4970635286673767,1.3511597446087222,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",8.0,0.625,1.0500506225957478,oscillatory,sustained,62
,7.0,0.5892319898881786,2.0,2.0985915492957745,28.2,0.5005146051631453,1.3224062395596874,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.8,0.7484245753439095,oscillatory,sustained,63
,6.0,0.5773652317787696,0.0,2.0,29.2,0.4971718883443962,1.2261678428956202,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",31.0,0.5483870967741935,0.8054547761666724,oscillatory,sustained,64
,7.0,0.5863886799556846,1.0,1.9866666666666666,29.8,0.5012625398482189,1.2532184910506188,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",63.0,0.5079365079365079,0.8798323258321622,oscillatory,sustained,65
,1.0,0.585064651333529,2.0,2.1527777777777777,28.8,0.503406277167058,1.2565081348946068,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",21.0,0.5238095238095238,0.7272197580289085,oscillatory,sustained,66
,7.0,0.5755583196863006,2.0,2.041095890410959,29.2,0.4988466402906848,1.2552926375153817,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.6666666666666666,0.7440009635069764,oscillatory,sustained,67
,1.0,0.5772734502021812,2.0,2.0277777777777777,28.8,0.49572813744533695,1.2715266481348158,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",7.0,0.7142857142857143,0.9227722531745906,oscillatory,sustained,68
,16.0,0.5632162071699455,2.0,2.0526315789473686,30.2,0.49796132182325076,1.2047616663154321,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",16.0,0.625,0.9999588468898365,oscillatory,sustained,69
29.0,12.0,0.5700951392236427,2.0,1.8873239436619718,28.4,0.496676397627985,1.2185646017947425,1,1,1,,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.8,0.9056639883969224,oscillatory,sustained,70
,4.0,0.5885336513958229,3.0,2.0,27.2,0.4953338168269326,1.3067686025773586,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",24.0,0.7083333333333334,0.7849031249540853,oscillatory,sustained,71
,3.0,0.5760849118357239,1.0,1.8101265822784811,31.6,0.49808766743914656,1.2704162941850985,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.3333333333333333,0.8394610232371826,oscillatory,sustained,72
,9.0,0.5818929310472181,0.0,1.9342105263157894,30.0,0.4999100099472406,1.2971144037967532,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.3333333333333333,0.8497829393792825,oscillatory,sustained,73
,1.0,0.5620481828118876,2.0,1.7763157894736843,30.0,0.490306384180613,1.2616744828261564,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",19.0,0.42105263157894735,0.7839536550927825,oscillatory,sustained,74
,1.0,0.5914117493018547,0.0,2.0,30.2,0.5011670048282798,1.177257696093289,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",30.0,0.6333333333333333,0.9212237491407915,oscillatory,sustained,75
,1.0,0.5750311831764676,0.0,2.081081081081081,29.2,0.4995254487140937,1.2546782736335933,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",38.0,0.5263157894736842,0.7926129535388928,oscillatory,sustained,76
,5.0,0.5736736746208625,1.0,1.8024691358024691,32.2,0.49946398475700987,1.3135102968274353,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.5555555555555556,0.6893563602071318,oscillatory,sustained,77
,10.0,0.5891957950326745,2.0,2.176470588235294,27.2,0.4998814033221089,1.3002559485625864,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",13.0,0.5384615384615384,0.682358220398498,oscillatory,sustained,78
,7.0,0.5748871452187693,2.0,1.9764705882352942,33.8,0.5021591274175131,1.2351421335449955,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.5333333333333333,0.7121169817544902,oscillatory,sustained,79
,1.0,0.5890231434383304,2.0,1.9125,31.8,0.5026350062007723,1.2478021244357484,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",4.0,0.5,0.7043870963297573,oscillatory,sustained,80
,1.0,0.5809493258106697,2.0,2.1971830985915495,28.2,0.5030534477285806,1.322235689642344,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",19.0,0.5263157894736842,0.8083212522195864,oscillatory,sustained,81
,1.0,0.5795723578119161,1.0,2.3333333333333335,29.6,0.5084390656983705,1.2042071587358731,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",16.0,0.3125,0.7179853269305021,oscillatory,sustained,82
,3.0,0.5749014505798137,0.0,1.9466666666666668,30.0,0.4990319907734616,1.2417577888491016,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",9.0,0.4444444444444444,0.861749189766276,oscillatory,sustained,83
,1.0,0.5802547801364265,2.0,1.9866666666666666,30.0,0.5005806786131006,1.2571114622273458,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",16.0,0.4375,0.6587502881174728,oscillatory,sustained,84
,5.0,0.580090298300609,3.0,1.922077922077922,30.4,0.49987097625859067,1.32528964504297,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.4,0.7025463889106743,oscillatory,sustained,85
,2.0,0.5626727777237681,0.0,2.012987012987013,30.6,0.5027111734519761,1.2565081348946068,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.4,1.083038509673667,oscillatory,sustained,86
,25.0,0.5772046821185038,2.0,2.0273972602739727,29.0,0.49750165299732146,1.2845310414213549,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",29.0,0.6896551724137931,0.8074051734952231,oscillatory,sustained,87
,4.0,0.5743556076885934,2.0,1.8831168831168832,30.4,0.49737677969539895,1.2409525391151477,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",4.0,0.75,0.9990405115061421,oscillatory,sustained,88
,1.0,0.5632161787505047,0.0,1.7027027027027026,29.6,0.49332567791640863,1.1907711139743478,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",15.0,0.4,1.413922174941948,oscillatory,sustained,89
,5.0,0.5929887053797376,2.0,1.9324324324324325,29.4,0.4995168157968209,1.2843373783937226,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",7.0,0.5714285714285714,0.8659164957992769,oscillatory,sustained,90
,2.0,0.5693827995018039,2.0,1.9473684210526316,30.4,0.49937046370447896,1.226500683047361,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",22.0,0.6363636363636364,0.9502923526765621,oscillatory,sustained,91
,27.0,0.5804916034182932,2.0,1.945945945945946,29.4,0.49779375057832304,1.2798720618867514,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",30.0,0.5,0.8233285021698247,oscillatory,sustained,92
,6.0,0.5676095114447024,2.0,2.013157894736842,30.0,0.4991829693917532,1.2858230932977035,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",14.0,0.21428571428571427,1.1549794411032153,oscillatory,sustained,93
,2.0,0.574409851038559,1.0,1.8205128205128205,31.0,0.4984199180198603,1.3113521267684691,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",2.0,0.5,0.6962180669326081,oscillatory,sustained,94
,1.0,0.5643563273132216,0.0,1.8904109589041096,28.8,0.49844074848211295,1.27878481679782,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",30.0,0.7,0.596143878295743,oscillatory,sustained,95
,21.0,0.5689393654345423,2.0,2.0135135135135136,29.4,0.49900332297751715,1.1174532850740555,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",58.0,0.6551724137931034,0.7174154593122697,oscillatory,sustained,96
,1.0,0.5771464876416722,2.0,1.9024390243902438,32.4,0.5016925308615793,1.2255685966235026,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",8.0,0.375,0.9193351399662384,oscillatory,sustained,97
,1.0,0.5750016832935997,2.0,2.0555555555555554,28.6,0.5017746933739793,1.24215860191321,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",4.0,0.5,0.8778690012485639,oscillatory,sustained,98
,6.0,0.5913158565582977,2.0,1.9333333333333333,29.6,0.49886463655372554,1.3874720870956698,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.3,0.6049452508619884,oscillatory,sustained,99
,1.0,0.5702279352640478,3.0,1.825,31.6,0.49760820324949523,1.2237950333713714,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",55.0,0.5272727272727272,0.9063595331356012,oscillatory,sustained,100
,1.0,0.5623409915934657,2.0,1.8289473684210527,30.2,0.49200380337373645,1.2517985074188538,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",14.0,0.6428571428571429,0.8658071356566094,oscillatory,sustained,101
,1.0,0.5733454968314928,0.0,2.064935064935065,30.6,0.5016896984140548,1.1387890365551308,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",3.0,1.0,0.8294752509318506,oscillatory,sustained,102
,22.0,0.5892007219260667,2.0,2.242424242424242,26.0,0.50087956336909,1.2411863561358292,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",22.0,0.5454545454545454,0.808663282509888,oscillatory,sustained,103
,1.0,0.5834861906250267,0.0,2.0,28.2,0.49551342322081166,1.2547642001491566,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",1.0,1.0,1.020517766063113,oscillatory,sustained,104
